annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,ileum,2,Brunners Gland Cells,252,-1.2597511797819236,-1.0256930301438834
Tissue,tissue_level_1,ileum,2,Paneth Cells,252,-0.43000170053407183,0.5573747449817819
Tissue,tissue_level_1,ileum,2,Tuft Cells,252,0.32052380044994205,0.7857852596282926
Tissue,tissue_level_1,ileum,2,Tuft Progenitors,252,-0.7188905367067753,-0.8976563093877375
Tissue,tissue_level_1,ileum,2,Goblet Cells,252,2.0045453902959154,1.5412792505080206
Tissue,tissue_level_1,ileum,2,Mature Goblet Cells,252,1.5767569970295516,1.9724905379130562
Tissue,tissue_level_1,ileum,2,Foveolar Cells,252,-1.2738271769814682,-1.4964961350389627
Tissue,tissue_level_1,ileum,2,Intestinal Stem Cells (ISC),252,1.4985663612541755,0.9336781393123861
Tissue,tissue_level_1,ileum,2,Transiently Amplifying Cells (TA),252,2.458162281385424,1.3845818918400132
Tissue,tissue_level_1,ileum,2,Secretory Progenitors,252,1.2794478468982173,1.5051917736223093
Tissue,tissue_level_1,ileum,2,Arteriolar Endothelial,252,-0.7518620422266878,-1.391442325841332
Tissue,tissue_level_1,ileum,2,Capillary Endothelial,252,-0.6693520571146016,0.26851248141061507
Tissue,tissue_level_1,ileum,2,Post Arteriole Capillary Endothelial (PAC),252,0.19995884046773274,1.2417989101678186
Tissue,tissue_level_1,ileum,2,Pre Venule Capillary Endothelial (PVC),252,-1.0789674953195953,-1.5971116706206192
Tissue,tissue_level_1,ileum,2,Venular Endothelial,252,-0.0067013765616579695,0.955571258983803
Tissue,tissue_level_1,ileum,2,Lymphatic Endothelial,252,-0.8066077205388217,-1.283734906081118
Tissue,tissue_level_1,ileum,2,Medullary Sinus Endothelial,252,-0.4691808191317724,0.45578639498170065
Tissue,tissue_level_1,ileum,2,Crypt Top Fibroblasts (S2B),252,-0.2982400865806862,0.9904451996049822
Tissue,tissue_level_1,ileum,2,Crypt Bottom Fibroblasts (S2A),252,-0.4954943555827171,0.005804635359038002
Tissue,tissue_level_1,ileum,2,Lamina propria Fibroblasts (S1),252,0.5878690127875869,1.2128056960116609
Tissue,tissue_level_1,ileum,2,Submucosal Fibroblasts (S3),252,-0.769168345760425,-1.0562701575390099
Tissue,tissue_level_1,ileum,2,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),252,-1.1912451008678666,-1.8618666934081898
Tissue,tissue_level_1,ileum,2,Fibroblastic Reticular Cells (FRC),252,-1.0617539378172467,-1.670857564660049
Tissue,tissue_level_1,ileum,2,Marginal Reticular Cells (MRC),252,-1.0199462140752582,-1.6950287032430151
Tissue,tissue_level_1,ileum,2,Follicular Dendritic Cells (fDC),252,-1.1628829269473884,-1.5494823801298445
Tissue,tissue_level_1,ileum,2,Muscularis Propria Fibroblasts,252,-0.9358042978943167,-1.2612459840122907
Tissue,tissue_level_1,ileum,2,Myofibroblasts,252,-0.41390356659191746,0.6254030669909684
Tissue,tissue_level_1,ileum,2,Interstitial Cells of Cajal (ICC),252,-1.257495642180386,-1.6203257002633216
Tissue,tissue_level_1,ileum,2,Angiogenic Pericytes,252,-0.6587685441829059,-0.4605829917144946
Tissue,tissue_level_1,ileum,2,Contractile Pericytes,252,-0.7166951644802461,-1.1476724497067459
Tissue,tissue_level_1,ileum,2,Secretory Pericytes,252,-1.1921739604783683,-1.8325850022086583
Tissue,tissue_level_1,ileum,2,Glia,252,-0.5324192003438408,0.062473855822104046
Tissue,tissue_level_1,ileum,2,Smooth Muscle Cells (SMC),252,-0.9404262628153462,-1.2821067932973402
Tissue,tissue_level_1,ileum,2,Adipocytes,252,-1.198889605349285,-1.5875170587690506
Tissue,tissue_level_1,ileum,2,Plasma Cells,252,0.8477027841300374,0.4048958137031125
Tissue,tissue_level_1,ileum,2,Plasma IGA,252,0.6246054919851523,-0.5108909119152524
Tissue,tissue_level_1,ileum,2,Plasma IGG,252,-0.5867103276144643,-1.198267042015974
Tissue,tissue_level_1,ileum,2,GC B Dark Zone (GC B DZ),252,0.3289940023012314,1.553204588771491
Tissue,tissue_level_1,ileum,2,GC B Light Zone (GC B LZ),252,0.23387212375451863,1.7564479548199032
Tissue,tissue_level_1,ileum,2,Memory B,252,1.9400542502189226,0.026407860877270786
Tissue,tissue_level_1,ileum,2,Naive B,252,1.1921331793493102,-0.02132577812615669
Tissue,tissue_level_1,ileum,2,CD4 Tfh,252,1.2682008436197516,-0.12539231155828745
Tissue,tissue_level_1,ileum,2,CD4 Th17,252,2.3879275548409735,-0.11416259427547701
Tissue,tissue_level_1,ileum,2,CD4 Tr1,252,-0.3429839097399998,-0.6468045130922491
Tissue,tissue_level_1,ileum,2,CD4 Tfr,252,-0.11088099348152133,-0.009296173771097236
Tissue,tissue_level_1,ileum,2,CD4 pTreg,252,0.40498950307342113,-0.32768321440888926
Tissue,tissue_level_1,ileum,2,CD4 tTreg,252,0.7276056537107272,-0.26279681583673825
Tissue,tissue_level_1,ileum,2,CD4 Naive,252,0.6256899842897042,-0.2837622941528448
Tissue,tissue_level_1,ileum,2,CD4 Memory,252,1.9465547621490862,-0.4014014124313387
Tissue,tissue_level_1,ileum,2,CD8 Effector Memory,252,0.29418778470333906,-0.7974403805044711
Tissue,tissue_level_1,ileum,2,CD8 Circulating Effector Memory,252,1.0765542311851166,-0.6834960863492359
Tissue,tissue_level_1,ileum,2,CD8 Memory Exhausted,252,-1.1367674641514716,-1.414973953577358
Tissue,tissue_level_1,ileum,2,CD8 TRM,252,2.869742674098704,0.03897952565243012
Tissue,tissue_level_1,ileum,2,CD8 IEL,252,1.0981312086369572,-0.30305800767206176
Tissue,tissue_level_1,ileum,2,CD8 Naive,252,-0.22235170588460243,-0.45139498800842737
Tissue,tissue_level_1,ileum,2,Gamma Delta T Cells,252,-0.5425091254929849,-1.0903290479932977
