context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
full_thickness,1,False,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,jejunum
not_full_thickness,8,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×depth,,jejunum
,15,1,0.06666666666666667,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI,colon
,9,4,0.4444444444444444,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP,colon
,8,1,0.125,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,LP,colon
,5,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,WM,colon
,2,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI,duodenum
,2,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP_MUSC,duodenum
,9,1,0.1111111111111111,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI,ileum
,25,4,0.16,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP,ileum
,8,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP_MUSC,ileum
,22,3,0.13636363636363635,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,LP,ileum
,7,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,WM,ileum
,2,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI,jejunum
,1,False,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,GC B Light Zone (GC B LZ),GC B Light Zone (GC B LZ),segment×radial_layer,LP,jejunum
full_thickness,19,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),depth,,
not_full_thickness,109,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),depth,,
,28,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),radial_layer,EPI,
,36,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),radial_layer,EPI_LP,
,19,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),radial_layer,EPI_LP_MUSC,
,33,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),radial_layer,LP,
,12,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),radial_layer,WM,
,42,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment,,colon
