context,n_samples,n_pos,capture_rate,rule,strata,radial_layer,segment,dataset_id,collection
,2,0,0.0,niche_primary,segment×radial_layer,EPI,jejunum,,
,1,0,0.0,niche_primary,segment×radial_layer,EPI_LP_MUSC,jejunum,,
,6,0,0.0,niche_primary,segment×radial_layer,LP,jejunum,,
not_full_thickness,87,3,0.034482758620689655,niche_primary,collection×depth,,,,biopsy
full_thickness,19,0,0.0,niche_primary,collection×depth,,,,surgical resection
not_full_thickness,22,1,0.045454545454545456,niche_primary,collection×depth,,,,surgical resection
,18,0,0.0,niche_primary,collection×radial_layer,EPI,,,biopsy
,32,1,0.03125,niche_primary,collection×radial_layer,EPI_LP,,,biopsy
,25,2,0.08,niche_primary,collection×radial_layer,LP,,,biopsy
,12,0,0.0,niche_primary,collection×radial_layer,WM,,,biopsy
,10,0,0.0,niche_primary,collection×radial_layer,EPI,,,surgical resection
,4,1,0.25,niche_primary,collection×radial_layer,EPI_LP,,,surgical resection
,19,0,0.0,niche_primary,collection×radial_layer,EPI_LP_MUSC,,,surgical resection
,8,0,0.0,niche_primary,collection×radial_layer,LP,,,surgical resection
,3,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,ArendsHelmsley,
,12,0,0.0,niche_primary,dataset×radial_layer,WM,,BasuHelmsley,
,4,0,0.0,niche_primary,dataset×radial_layer,EPI,,Burclaff2022,
,1,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,Dominguez2022,
,3,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Elmentaite2020,
,12,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,Elmentaite2020,
,9,0,0.0,niche_primary,dataset×radial_layer,EPI,,HamiltonHelmsley,
,5,0,0.0,niche_primary,dataset×radial_layer,LP,,HamiltonHelmsley,
,1,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,He2020,
,2,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Huang2019,
,2,0,0.0,niche_primary,dataset×radial_layer,LP,,Jaeger2021,
,1,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,James2020_3p,
,1,0,0.0,niche_primary,dataset×radial_layer,EPI_LP_MUSC,,James2020_5p,
,2,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Kinchen2018,
,5,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Kong2023_v2,
,1,0,0.0,niche_primary,dataset×radial_layer,LP,,Kong2023_v2,
,9,0,0.0,niche_primary,dataset×radial_layer,EPI,,Kong2023_v3,
,17,1,0.058823529411764705,niche_primary,dataset×radial_layer,LP,,Kong2023_v3,
,15,1,0.06666666666666667,niche_primary,dataset×radial_layer,EPI_LP,,Krzak2023,
,2,1,0.5,niche_primary,dataset×radial_layer,EPI_LP,,Lee2020,
,3,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Luoma2020,
,2,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Martin2019,
,4,0,0.0,niche_primary,dataset×radial_layer,EPI,,Wang2020,
,1,0,0.0,niche_primary,dataset×radial_layer,LP,,Wells2025,
,2,0,0.0,niche_primary,dataset×radial_layer,EPI,,Wells2025_2,
,5,0,0.0,niche_primary,dataset×radial_layer,LP,,Wells2025_2,
,2,0,0.0,niche_primary,dataset×radial_layer,EPI_LP,,Yu2021,
,2,1,0.5,niche_primary,dataset×radial_layer,LP,,Zheng2024,
full_thickness,19,0,0.0,niche_strict,depth,,,,
not_full_thickness,109,0,0.0,niche_strict,depth,,,,
,28,0,0.0,niche_strict,radial_layer,EPI,,,
,36,0,0.0,niche_strict,radial_layer,EPI_LP,,,
,19,0,0.0,niche_strict,radial_layer,EPI_LP_MUSC,,,
,33,0,0.0,niche_strict,radial_layer,LP,,,
,12,0,0.0,niche_strict,radial_layer,WM,,,
,42,0,0.0,niche_strict,segment,,colon,,
,6,0,0.0,niche_strict,segment,,duodenum,,
,71,0,0.0,niche_strict,segment,,ileum,,
,9,0,0.0,niche_strict,segment,,jejunum,,
,3,0,0.0,niche_strict,dataset,,,ArendsHelmsley,
,12,0,0.0,niche_strict,dataset,,,BasuHelmsley,
